loan_purpose,loan_amount,debt_to_income_ratio,property_value,income,occupancy_type,derived_race,derived_sex,applicant_age,loan_to_value_ratio,action_taken
1,295000.0,36,355000.0,220.0,1,Black or African American,Joint,65-74,85.0,Loan originated
1,875000.0,48,1275000.0,188.0,1,White,Female,35-44,68.63,Loan originated
1,665000.0,40,695000.0,284.0,1,Asian,Female,35-44,95.0,Loan originated
1,105000.0,39,185000.0,38.0,1,Asian,Male,<25,58.01,Loan originated
1,385000.0,48,455000.0,87.0,1,Asian,Female,25-34,84.62,Loan originated
1,865000.0,48,1025000.0,240.0,1,Hispanic or Latino,Male,35-44,85.0,Loan originated
1,1005000.0,20%-<30%,2175000.0,399.0,1,White,Male,35-44,46.26,Loan originated
1,445000.0,30%-<36%,845000.0,197.0,1,White,Joint,25-34,52.38,Loan originated
1,845000.0,49,1265000.0,177.0,1,White,Male,25-34,67.0,Loan originated
1,355000.0,<20%,445000.0,211.0,1,Hispanic or Latino,Male,35-44,80.0,Loan originated
1,305000.0,44,375000.0,128.0,1,Hispanic or Latino,Female,35-44,80.0,Loan originated
1,755000.0,47,845000.0,180.0,1,Hispanic or Latino,Female,35-44,89.9,Loan originated
1,495000.0,30%-<36%,625000.0,265.0,1,Hispanic or Latino,Joint,55-64,80.0,Loan originated
1,205000.0,41,495000.0,85.0,1,White,Female,65-74,40.08,Loan originated
1,765000.0,40,1365000.0,243.0,1,White,Male,35-44,55.88,Loan originated
1,525000.0,50%-60%,585000.0,142.0,1,Hispanic or Latino,Joint,<25,90.0,Application denied
1,1045000.0,40,1105000.0,316.0,1,Black or African American,Male,25-34,95.0,Loan originated
1,805000.0,47,1205000.0,256.0,1,White,Joint,>74,66.67,Loan originated
1,645000.0,45,1325000.0,170.0,1,White,Female,45-54,49.92,Loan originated
1,425000.0,30%-<36%,475000.0,131.0,1,Hispanic or Latino,Joint,25-34,90.0,Loan originated
1,355000.0,<20%,1705000.0,281.0,1,White,Joint,55-64,20.59,Loan originated
1,435000.0,37,575000.0,122.0,1,White,Female,35-44,75.0,Loan originated
1,505000.0,50%-60%,865000.0,117.0,1,White,Joint,45-54,59.19,Loan originated
1,965000.0,49,1205000.0,216.0,1,White,Male,<25,80.0,Application denied
1,355000.0,30%-<36%,805000.0,130.0,1,Asian,Female,25-34,43.75,Loan originated
1,405000.0,20%-<30%,755000.0,201.0,1,White,Male,35-44,53.33,Loan originated
1,615000.0,20%-<30%,765000.0,219.0,1,White,Joint,25-34,80.0,Loan originated
1,675000.0,36,705000.0,205.0,1,Black or African American,Joint,35-44,97.0,Loan originated
1,765000.0,49,955000.0,149.0,1,White,Joint,35-44,80.0,Loan originated
1,495000.0,39,545000.0,310.0,1,White,Female,<25,90.0,Loan originated
1,945000.0,46,1625000.0,204.0,1,White,Female,65-74,58.02,Loan originated
1,435000.0,45,545000.0,198.0,1,White,Joint,65-74,80.0,Loan originated
1,435000.0,20%-<30%,455000.0,185.0,1,White,Male,35-44,97.0,Loan originated
1,385000.0,45,555000.0,98.0,1,White,Female,25-34,69.53,Loan originated
1,305000.0,36,1205000.0,112.0,1,White,Male,65-74,25.0,Loan originated
1,405000.0,44,855000.0,124.0,1,White,Female,35-44,46.57,Loan originated
1,435000.0,46,545000.0,102.0,1,Asian,Male,35-44,80.0,Loan originated
1,745000.0,49,845000.0,136.0,1,Hispanic or Latino,Joint,45-54,88.69,Loan originated
1,675000.0,41,1025000.0,187.0,1,White,Joint,25-34,65.85,Loan originated
1,935000.0,47,985000.0,204.0,1,Hispanic or Latino,Joint,45-54,95.0,Loan originated
1,235000.0,37,1055000.0,139.0,1,White,Joint,65-74,22.72,Loan originated
1,615000.0,46,775000.0,282.0,1,Asian,Joint,55-64,79.97,Application denied
1,595000.0,30%-<36%,735000.0,263.0,1,Asian,Female,45-54,80.0,Loan originated
1,305000.0,48,415000.0,67.0,1,White,Male,35-44,75.0,Loan originated
1,385000.0,48,415000.0,96.0,1,Hispanic or Latino,Male,65-74,95.0,Loan originated
1,685000.0,30%-<36%,855000.0,382.0,1,White,Joint,35-44,80.0,Loan originated
1,225000.0,38,275000.0,68.0,1,White,Male,45-54,80.0,Loan originated
1,595000.0,39,625000.0,138.0,1,Asian,Male,25-34,95.0,Loan originated
1,825000.0,49,955000.0,157.0,1,Hispanic or Latino,Joint,45-54,87.14,Loan originated
1,735000.0,47,915000.0,211.0,1,Asian,Joint,55-64,80.0,Loan originated
1,785000.0,37,1425000.0,398.0,1,Asian,Joint,45-54,55.09,Loan originated
1,675000.0,36,705000.0,155.0,1,Asian,Joint,35-44,98.89,Loan originated
1,555000.0,47,685000.0,148.0,1,Asian,Joint,45-54,80.0,Loan originated
1,545000.0,30%-<36%,605000.0,305.0,1,Asian,Joint,35-44,90.0,Loan originated
1,585000.0,48,735000.0,124.0,1,Black or African American,Female,45-54,80.0,Loan originated
1,1145000.0,45,1765000.0,348.0,1,Asian,Joint,35-44,79.98,Loan originated
1,1085000.0,36,1515000.0,288.0,1,Asian,Male,35-44,85.0,Loan originated
1,575000.0,<20%,985000.0,385.0,1,Hispanic or Latino,Female,25-34,58.38,Loan originated
1,475000.0,47,825000.0,107.0,1,White,Female,45-54,56.97,Loan originated
1,115000.0,30%-<36%,415000.0,58.0,1,Asian,Male,25-34,56.31,Loan originated
1,445000.0,20%-<30%,845000.0,254.0,1,White,Joint,35-44,52.66,Loan originated
1,325000.0,20%-<30%,335000.0,177.0,1,White,Male,55-64,97.0,Loan originated
1,725000.0,20%-<30%,1175000.0,284.0,1,Hispanic or Latino,Joint,35-44,61.62,Loan originated
1,765000.0,30%-<36%,955000.0,512.0,1,White,Joint,45-54,80.0,Loan originated
1,155000.0,<20%,565000.0,189.0,1,White,Joint,65-74,26.8,Loan originated
1,535000.0,20%-<30%,565000.0,213.0,1,Asian,Joint,35-44,95.0,Loan originated
1,415000.0,43,515000.0,115.0,1,White,Female,65-74,80.0,Loan originated
1,455000.0,<20%,575000.0,425.0,1,Asian,Male,25-34,80.0,Loan originated
1,465000.0,30%-<36%,515000.0,261.0,1,White,Joint,65-74,90.0,Loan originated
1,325000.0,42,465000.0,117.0,1,Hispanic or Latino,Female,65-74,70.21,Loan originated
1,915000.0,47,1225000.0,183.0,1,Hispanic or Latino,Female,45-54,75.0,Loan originated
1,425000.0,30%-<36%,575000.0,123.0,1,Hispanic or Latino,Female,25-34,75.0,Loan originated
1,765000.0,48,1605000.0,217.0,1,White,Joint,35-44,47.91,Loan originated
1,415000.0,49,595000.0,83.0,1,Hispanic or Latino,Female,45-54,69.68,Loan originated
1,545000.0,42,785000.0,128.0,1,White,Female,55-64,70.0,Loan originated
1,415000.0,49,455000.0,88.0,1,Asian,Female,25-34,95.0,Loan originated
1,755000.0,30%-<36%,945000.0,233.0,1,Asian,Male,35-44,80.0,Loan originated
1,345000.0,46,365000.0,119.0,1,Black or African American,Female,35-44,95.0,Loan originated
1,765000.0,40,1755000.0,230.0,1,White,Joint,55-64,43.78,Loan originated
1,405000.0,30%-<36%,605000.0,128.0,1,White,Female,45-54,66.94,Loan originated
1,705000.0,20%-<30%,945000.0,277.0,1,White,Male,35-44,75.0,Loan originated
1,715000.0,44,745000.0,212.0,1,Asian,Male,35-44,100.0,Loan originated
1,775000.0,42,1175000.0,195.0,1,Asian,Male,25-34,65.96,Loan originated
1,745000.0,36,935000.0,211.0,1,Asian,Male,35-44,80.0,Loan originated
1,1005000.0,47,1185000.0,255.0,1,White,Joint,45-54,84.92,Loan originated
1,505000.0,20%-<30%,705000.0,168.0,1,Other,Female,45-54,71.43,Loan originated
1,755000.0,<20%,1455000.0,432.0,1,White,Joint,35-44,51.72,Loan originated
1,765000.0,46,955000.0,218.0,1,White,Male,65-74,80.0,Loan originated
1,885000.0,48,1105000.0,263.0,1,White,Joint,35-44,80.0,Loan originated
1,505000.0,20%-<30%,955000.0,265.0,1,White,Joint,25-34,52.63,Loan originated
1,1145000.0,44,1225000.0,319.0,1,Hispanic or Latino,Male,25-34,93.86,Loan originated
1,1145000.0,47,1225000.0,600.0,1,White,Male,55-64,94.25,Loan originated
1,625000.0,45,775000.0,158.0,1,White,Joint,25-34,80.0,Loan originated
1,335000.0,20%-<30%,355000.0,418.0,1,Hispanic or Latino,Joint,45-54,95.0,Loan originated
1,245000.0,37,305000.0,93.0,1,Asian,Female,45-54,31.97,Application denied
1,715000.0,40,745000.0,207.0,1,Black or African American,Joint,35-44,97.0,Loan originated
1,325000.0,49,475000.0,78.0,1,White,Female,55-64,67.79,Loan originated
1,355000.0,20%-<30%,495000.0,165.0,1,White,Joint,45-54,71.43,Loan originated
1,605000.0,30%-<36%,675000.0,255.0,1,White,Joint,25-34,89.99,Loan originated
1,465000.0,49,615000.0,96.0,1,Black or African American,Joint,35-44,76.39,Loan originated
1,465000.0,36,545000.0,158.0,1,Asian,Male,35-44,85.32,Loan originated
1,505000.0,44,1405000.0,150.0,1,White,Male,55-64,35.71,Loan originated
1,325000.0,49,405000.0,189.0,1,Hispanic or Latino,Male,55-64,80.0,Loan originated
1,205000.0,20%-<30%,295000.0,99.0,1,White,Female,45-54,67.8,Loan originated
1,605000.0,20%-<30%,1255000.0,334.0,1,White,Joint,45-54,48.0,Loan originated
1,365000.0,42,605000.0,103.0,1,White,Male,45-54,60.0,Application denied
1,615000.0,45,815000.0,142.0,1,White,Joint,<25,75.0,Loan originated
1,435000.0,42,455000.0,267.0,1,Other,Joint,35-44,95.0,Loan originated
1,635000.0,48,665000.0,177.0,1,Hispanic or Latino,Joint,35-44,95.0,Loan originated
1,555000.0,39,695000.0,214.0,1,White,Joint,65-74,80.0,Loan originated
1,275000.0,45,385000.0,72.0,1,White,Male,25-34,70.97,Loan originated
1,395000.0,41,775000.0,100.0,1,Hispanic or Latino,Male,55-64,50.65,Loan originated
1,435000.0,46,955000.0,112.0,1,White,Female,35-44,45.79,Loan originated
1,625000.0,49,695000.0,105.0,1,Asian,Male,35-44,90.0,Loan originated
1,445000.0,47,885000.0,118.0,1,Asian,Male,45-54,50.0,Loan originated
1,675000.0,48,755000.0,138.0,1,Hispanic or Latino,Joint,35-44,89.93,Loan originated
1,595000.0,40,625000.0,200.0,1,White,Female,45-54,95.0,Loan originated
1,415000.0,37,505000.0,189.0,1,White,Female,25-34,81.19,Loan originated
1,375000.0,42,505000.0,99.0,1,Asian,Male,25-34,90.25,Loan originated
1,715000.0,46,875000.0,174.0,1,White,Male,35-44,81.61,Loan originated
1,945000.0,46,1055000.0,267.0,1,White,Joint,45-54,90.0,Loan originated
1,615000.0,45,705000.0,149.0,1,Hispanic or Latino,Female,35-44,85.16,Loan originated
1,685000.0,48,855000.0,245.0,1,Other,Joint,35-44,80.0,Loan originated
1,905000.0,49,1755000.0,199.0,1,White,Joint,35-44,51.71,Loan originated
1,485000.0,39,655000.0,176.0,1,White,Female,25-34,75.0,Loan originated
1,385000.0,41,415000.0,124.0,1,White,Joint,25-34,95.0,Loan originated
1,405000.0,20%-<30%,535000.0,150.0,1,Asian,Female,35-44,75.0,Loan originated
1,745000.0,39,835000.0,187.0,1,Hispanic or Latino,Joint,35-44,90.0,Loan originated
1,985000.0,48,1455000.0,235.0,1,Asian,Joint,45-54,70.0,Loan originated
1,385000.0,30%-<36%,785000.0,150.0,1,White,Female,35-44,49.04,Loan originated
1,655000.0,38,1105000.0,221.0,1,White,Male,35-44,59.09,Loan originated
1,505000.0,50%-60%,1085000.0,125.0,1,White,Joint,45-54,46.73,Loan originated
1,395000.0,39,445000.0,109.0,1,White,Female,25-34,90.0,Loan originated
1,475000.0,20%-<30%,505000.0,286.0,1,Black or African American,Female,45-54,95.0,Loan originated
1,335000.0,45,425000.0,101.0,1,White,Joint,35-44,78.81,Loan originated
1,985000.0,43,1225000.0,317.0,1,Asian,Male,35-44,80.0,Loan originated
1,865000.0,44,965000.0,216.0,1,White,Joint,25-34,89.99,Loan originated
1,765000.0,30%-<36%,1405000.0,264.0,1,Hispanic or Latino,Female,55-64,54.56,Loan originated
1,435000.0,41,515000.0,121.0,1,White,Joint,35-44,84.84,Loan originated
1,575000.0,41,725000.0,215.0,1,White,Joint,35-44,80.0,Loan originated
1,325000.0,30%-<36%,425000.0,225.0,1,Hispanic or Latino,Female,55-64,76.39,Loan originated
1,55000.0,30%-<36%,455000.0,46.0,1,White,Male,35-44,40.56,Loan originated
1,455000.0,49,505000.0,113.0,1,Hispanic or Latino,Male,<25,90.0,Loan originated
1,615000.0,42,685000.0,141.0,1,White,Male,25-34,90.0,Loan originated
1,625000.0,20%-<30%,655000.0,196.0,1,Asian,Male,25-34,95.0,Loan originated
1,415000.0,46,515000.0,176.0,1,Hispanic or Latino,Female,55-64,80.0,Loan originated
1,535000.0,49,575000.0,121.0,1,Asian,Female,25-34,92.35,Loan originated
1,515000.0,47,685000.0,116.0,1,White,Female,35-44,74.89,Loan originated
1,495000.0,44,925000.0,157.0,1,Asian,Female,45-54,53.38,Loan originated
1,785000.0,41,935000.0,170.0,1,Asian,Male,25-34,84.0,Loan originated
1,1005000.0,30%-<36%,1205000.0,324.0,1,White,Male,45-54,83.83,Loan originated
1,765000.0,45,1365000.0,639.0,1,Asian,Joint,35-44,56.25,Loan originated
1,355000.0,44,445000.0,77.0,1,White,Joint,25-34,80.0,Loan originated
1,755000.0,46,1085000.0,200.0,1,Asian,Male,25-34,70.0,Loan originated
1,375000.0,30%-<36%,975000.0,131.0,1,White,Joint,65-74,38.46,Loan originated
1,535000.0,47,665000.0,150.0,1,Asian,Joint,45-54,80.0,Loan originated
1,765000.0,41,815000.0,243.0,1,White,Joint,45-54,94.64,Loan originated
1,885000.0,49,935000.0,303.0,1,Hispanic or Latino,Joint,35-44,95.0,Loan originated
1,795000.0,43,885000.0,235.0,1,White,Joint,35-44,90.0,Loan originated
1,425000.0,37,905000.0,132.0,1,White,Male,55-64,47.22,Loan originated
1,195000.0,49,195000.0,54.0,1,Hispanic or Latino,Male,45-54,97.0,Loan originated
1,305000.0,46,395000.0,62.0,1,White,Male,25-34,76.73,Loan originated
1,615000.0,43,655000.0,216.0,1,White,Joint,25-34,95.0,Loan originated
1,1035000.0,49,1155000.0,214.0,1,Asian,Joint,35-44,89.99,Loan originated
1,415000.0,49,525000.0,117.0,1,Hispanic or Latino,Male,25-34,79.23,Loan originated
1,445000.0,37,565000.0,121.0,1,White,Female,25-34,78.03,Loan originated
1,475000.0,43,595000.0,137.0,1,Asian,Female,25-34,80.0,Loan originated
1,405000.0,44,505000.0,103.0,1,White,Joint,25-34,80.0,Loan originated
1,465000.0,30%-<36%,575000.0,180.0,1,White,Joint,45-54,80.0,Loan originated
1,205000.0,48,425000.0,54.0,1,Hispanic or Latino,Female,45-54,49.64,Loan originated
1,415000.0,<20%,515000.0,246.0,1,White,Male,35-44,80.0,Loan originated
1,385000.0,41,475000.0,163.0,1,White,Female,35-44,80.0,Loan originated
1,465000.0,30%-<36%,525000.0,267.0,1,White,Female,35-44,90.0,Loan originated
1,405000.0,49,435000.0,120.0,1,Black or African American,Female,25-34,99.65,Loan originated
1,515000.0,45,695000.0,112.0,1,Asian,Male,25-34,75.0,Loan originated
1,535000.0,40,665000.0,183.0,1,Asian,Joint,25-34,80.0,Loan originated
1,395000.0,48,665000.0,90.0,1,White,Female,65-74,59.85,Loan originated
1,275000.0,20%-<30%,1355000.0,207.0,1,White,Male,65-74,20.06,Loan originated
1,695000.0,>60%,925000.0,100.0,1,White,Joint,35-44,75.0,Application denied
1,495000.0,48,705000.0,113.0,1,White,Female,55-64,70.0,Loan originated
1,855000.0,48,1255000.0,232.0,1,White,Joint,35-44,68.0,Loan originated
1,295000.0,47,825000.0,108.0,1,White,Female,65-74,35.37,Loan originated
1,235000.0,49,335000.0,60.0,1,White,Female,55-64,69.7,Loan originated
1,485000.0,47,515000.0,174.0,1,Hispanic or Latino,Male,25-34,95.0,Loan originated
1,495000.0,30%-<36%,645000.0,344.0,1,White,Joint,45-54,76.56,Loan originated
1,735000.0,30%-<36%,775000.0,316.0,1,Asian,Male,55-64,95.0,Loan originated
1,545000.0,49,575000.0,175.0,1,Hispanic or Latino,Joint,35-44,95.0,Loan originated
1,755000.0,30%-<36%,945000.0,353.0,1,Asian,Male,35-44,80.0,Loan originated
1,705000.0,38,825000.0,201.0,1,White,Female,35-44,85.0,Loan originated
1,175000.0,48,475000.0,44.0,1,White,Female,65-74,36.84,Loan originated
1,755000.0,30%-<36%,3405000.0,439.0,1,White,Male,65-74,22.06,Loan originated
1,625000.0,46,835000.0,223.0,1,Hispanic or Latino,Female,55-64,74.85,Loan originated
1,905000.0,48,1405000.0,298.0,1,Asian,Male,<25,64.29,Loan originated
1,255000.0,<20%,1485000.0,273.0,1,White,Joint,65-74,16.84,Loan originated
1,925000.0,41,995000.0,249.0,1,Asian,Female,25-34,92.94,Loan originated
1,755000.0,20%-<30%,1455000.0,284.0,1,Asian,Joint,25-34,51.72,Loan originated
1,1145000.0,39,1475000.0,369.0,1,Asian,Male,45-54,78.22,Loan originated
1,645000.0,44,805000.0,164.0,1,Asian,Female,35-44,80.0,Loan originated
1,245000.0,30%-<36%,305000.0,228.0,1,White,Female,35-44,80.0,Loan originated
1,495000.0,46,1055000.0,108.0,1,Asian,Female,35-44,46.67,Loan originated
1,465000.0,45,575000.0,104.0,1,White,Male,25-34,80.0,Loan originated
1,325000.0,30%-<36%,775000.0,133.0,1,White,Female,55-64,41.56,Loan originated
1,195000.0,49,205000.0,71.0,1,White,Female,45-54,98.95,Loan originated
1,425000.0,43,495000.0,122.0,1,White,Male,25-34,86.67,Loan originated
1,495000.0,20%-<30%,555000.0,575.0,1,White,Joint,<25,89.98,Loan originated
1,735000.0,37,915000.0,189.0,1,Asian,Joint,35-44,80.0,Loan originated
1,545000.0,40,575000.0,304.0,1,White,Male,25-34,95.0,Loan originated
1,275000.0,30%-<36%,975000.0,122.0,1,White,Joint,25-34,89.74,Loan originated
1,305000.0,<20%,705000.0,222.0,1,White,Joint,25-34,42.73,Loan originated
1,295000.0,30%-<36%,825000.0,122.0,1,White,Joint,25-34,95.76,Loan originated
1,525000.0,30%-<36%,655000.0,166.0,1,White,Joint,25-34,80.0,Loan originated
1,295000.0,47,1595000.0,146.0,1,White,Male,65-74,18.5,Loan originated
